基金代码,基金名称,基金公司,基金类型,投资类型,股票仓位(%),3个月收益(%),6个月收益(%),9个月收益(%),重点管理人
019904.OF,东方红颐安稳健养老一年持有Y,东方红资产管理,混合型,混合型,0.0,0.0,0.0,0.0,否
019418.OF,中欧磐固C,中欧基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019372.OF,大成元丰多利A,大成基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018683.OF,鑫元浩鑫增强C,鑫元基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019417.OF,中欧磐固A,中欧基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019373.OF,大成元丰多利C,大成基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019883.OF,信澳安益纯债E,信达澳亚基金,债券型,债券型,0.0,0.7705061933092505,0.0,0.0,否
019803.OF,博远增睿纯债C,博远基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019901.OF,华宝政策性金融债C,华宝基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019905.OF,信澳优享E,信达澳亚基金,债券型,债券型,0.0,0.47183721616042007,0.0,0.0,否
019882.OF,招商招祥纯债E,招商基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018534.OF,银河景泰纯债A,银河基金,债券型,债券型,0.0,0.5181853734845587,0.0,0.0,否
018535.OF,银河景泰纯债C,银河基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019881.OF,中信保诚稳达E,中信保诚基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019840.OF,华泰柏瑞稳健收益D,华泰柏瑞基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019893.OF,中银美元债人民币C,中银基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019812.OF,国联盈泽中短债E,国联基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019772.OF,浙商汇金短债C,浙商资管,债券型,债券型,0.0,0.0,0.0,0.0,否
018637.OF,农银金恒,农银汇理基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019563.OF,华润元大泓远利率债A,华润元大基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018880.OF,中欧稳丰90天持有A,中欧基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019063.OF,兴全恒荣A,兴证全球基金,债券型,债券型,0.0,1.061757256964757,0.0,0.0,否
019460.OF,摩根瑞锦纯债A,摩根基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018805.OF,广发添福90天持有C,广发基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018804.OF,广发添福90天持有A,广发基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018881.OF,中欧稳丰90天持有C,中欧基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019064.OF,兴全恒荣C,兴证全球基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019461.OF,摩根瑞锦纯债C,摩根基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019568.OF,明亚久安90天持有A,明亚基金,债券型,债券型,0.0,0.0,0.6711753253407116,0.0,否
018772.OF,南方惠享稳健添利A,南方基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019569.OF,明亚久安90天持有C,明亚基金,债券型,债券型,0.0,0.0,0.5734694904170334,0.0,否
018773.OF,南方惠享稳健添利C,南方基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019564.OF,华润元大泓远利率债C,华润元大基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019802.OF,富国短债D,富国基金,债券型,债券型,0.0,0.0,0.9197751660705356,0.0,否
009739.OF,嘉合磐泰短债E,嘉合基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019804.OF,嘉合磐泰短债D,嘉合基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019684.OF,万家添利A,万家基金,债券型,债券型,0.0,0.5560480296558978,1.9527739194378668,0.0,否
018814.OF,中金金安,中金基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019709.OF,富国亚洲收益人民币C,富国基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019770.OF,中欧瑾泰E,中欧基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019742.OF,华宝宝丰高等级D,华宝基金,债券型,债券型,0.0,0.0,0.0,0.0,否
014897.OF,浙商兴盈6个月定开C,浙商基金,债券型,债券型,0.0,0.0,0.0,0.0,否
014896.OF,浙商兴盈6个月定开A,浙商基金,债券型,债券型,0.0,0.0,0.0,0.0,否
