日期,高拥挤Top6等权%,低拥挤Bot6等权%,高-低轧差%,轧差净值,Top6行业,Bottom6行业
04/01,0.93,-0.29833333333333334,1.2283333333333335,1.0961468308759088,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 汽车, 通信"
04/02,0.053333333333333344,0.12833333333333333,-0.07499999999999998,1.095324720752752,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 汽车, 医药生物"
04/03,0.14166666666666666,-1.66,1.8016666666666665,1.115058821138314,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 汽车, 医药生物"
04/07,-8.67,-11.176666666666666,2.506666666666666,1.1430096289215141,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 汽车, 医药生物"
04/08,2.0116666666666667,-0.295,2.3066666666666666,1.169375051028637,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 汽车, 医药生物"
04/09,1.4883333333333333,1.9883333333333333,-0.5,1.1635281757734937,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 汽车, 医药生物"
04/10,1.3800000000000001,2.5083333333333333,-1.1283333333333332,1.1503996995235162,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 汽车, 医药生物"
04/11,-0.4433333333333333,1.6066666666666667,-2.05,1.1268165056832842,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 汽车, 医药生物"
04/14,1.535,1.055,0.48,1.1322252249105638,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 汽车, 医药生物"
04/15,0.24833333333333335,-0.3466666666666667,0.595,1.1389619649987814,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 医药生物, 汽车"
04/16,-0.515,-1.2533333333333334,0.7383333333333334,1.1473713008403557,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 机械设备, 计算机, 电力设备, 医药生物, 汽车"
04/17,0.5166666666666666,-0.03500000000000001,0.5516666666666666,1.1537009658499915,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 机械设备, 计算机, 电力设备, 医药生物, 汽车"
04/18,-0.29333333333333333,-0.025,-0.2683333333333333,1.1506052015916273,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 机械设备, 计算机, 电力设备, 医药生物, 汽车"
04/21,0.7,1.9316666666666666,-1.2316666666666667,1.1364335808586905,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 机械设备, 计算机, 电力设备, 医药生物, 汽车"
04/22,0.2633333333333333,-0.2783333333333334,0.5416666666666667,1.1425892627550083,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 钢铁","电子, 机械设备, 计算机, 电力设备, 医药生物, 基础化工"
04/23,-0.22499999999999998,0.8933333333333333,-1.1183333333333332,1.1298113061665314,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 医药生物, 基础化工"
04/24,0.14333333333333337,-0.88,1.0233333333333334,1.1413730418663022,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 医药生物, 基础化工"
04/25,0.27999999999999997,0.22833333333333333,0.05166666666666664,1.1419627512712665,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 钢铁","电子, 计算机, 机械设备, 医药生物, 电力设备, 基础化工"
04/28,-0.9183333333333333,-0.7533333333333333,-0.16500000000000004,1.1400785127316688,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 钢铁","电子, 计算机, 机械设备, 医药生物, 电力设备, 基础化工"
04/29,0.14166666666666666,0.5783333333333334,-0.4366666666666667,1.1351001698927405,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 钢铁","电子, 计算机, 机械设备, 医药生物, 电力设备, 基础化工"
