trade_date,ts_code,close,pct_chg
20250409,399303.SZ,7180.8601,2.5489
20250410,399303.SZ,7377.1638,2.7337
20250411,399303.SZ,7468.9433,1.2441
20250414,399303.SZ,7594.3893,1.6796
20250415,399303.SZ,7574.683,-0.2595
20250416,399303.SZ,7454.8416,-1.5821
20250417,399303.SZ,7478.1958,0.3133
20250418,399303.SZ,7472.5656,-0.0753
20250421,399303.SZ,7642.6385,2.276
20250422,399303.SZ,7636.6837,-0.0779
20250423,399303.SZ,7705.4585,0.9006
20250424,399303.SZ,7625.5012,-1.0377
20250425,399303.SZ,7650.629,0.3295
20250428,399303.SZ,7554.4449,-1.2572
20250429,399303.SZ,7606.177,0.6848
20250430,399303.SZ,7685.3696,1.0412
20250506,399303.SZ,7908.1314,2.8985
20250507,399303.SZ,7928.1539,0.2532
20250508,399303.SZ,8001.5632,0.9259
20250509,399303.SZ,7892.8069,-1.3592
20250512,399303.SZ,8011.8482,1.5082
20250513,399303.SZ,7986.1333,-0.321
20250514,399303.SZ,7992.5974,0.0809
20250515,399303.SZ,7865.7794,-1.5867
20250516,399303.SZ,7905.0556,0.4993
20250519,399303.SZ,7948.6766,0.5518
20250520,399303.SZ,8014.736,0.8311
20250521,399303.SZ,7978.5991,-0.4509
20250522,399303.SZ,7882.8923,-1.1995
20250523,399303.SZ,7793.7004,-1.1315
20250526,399303.SZ,7859.3956,0.8429
20250527,399303.SZ,7847.606,-0.15
20250528,399303.SZ,7823.6126,-0.3057
20250529,399303.SZ,7971.6551,1.8923
20250530,399303.SZ,7866.8895,-1.3142
20250603,399303.SZ,7930.4825,0.8084
20250604,399303.SZ,8006.7806,0.9621
20250605,399303.SZ,8062.7234,0.6987
20250606,399303.SZ,8047.5023,-0.1888
20250609,399303.SZ,8156.0603,1.349
20250610,399303.SZ,8085.2917,-0.8677
20250611,399303.SZ,8116.4934,0.3859
20250612,399303.SZ,8133.1717,0.2055
20250613,399303.SZ,7988.1506,-1.7831
20250616,399303.SZ,8062.6288,0.9324
20250617,399303.SZ,8050.1193,-0.1552
20250618,399303.SZ,8046.1806,-0.0489
20250619,399303.SZ,7907.1615,-1.7278
20250620,399303.SZ,7841.5671,-0.8296
20250623,399303.SZ,7962.7127,1.5449
20250624,399303.SZ,8126.8828,2.0617
20250625,399303.SZ,8224.5502,1.2018
20250626,399303.SZ,8194.6502,-0.3635
20250627,399303.SZ,8228.6216,0.4146
20250630,399303.SZ,8339.4937,1.3474
20250701,399303.SZ,8362.1735,0.272
20250702,399303.SZ,8277.6518,-1.0108
