trade_date,symbol,close,vol,amount,oi
20260313,RB,3142.0,919808.0,2889673.58,1626779.0
20260316,RB,3140.0,735893.0,2307584.22,1574064.0
20260317,RB,3148.0,592481.0,1862504.28,1549534.0
20260318,RB,3140.0,860500.0,2711685.34,1514911.0
20260319,RB,3135.0,648797.0,2031659.74,1449246.0
20260320,RB,3123.0,724139.0,2264163.33,1387220.0
20260323,RB,3154.0,1011355.0,3183775.86,1351388.0
20260324,RB,3145.0,618964.0,1946673.5,1263489.0
20260325,RB,3132.0,593608.0,1863625.679,1207313.0
20260326,RB,3128.0,406440.0,1272831.99,1167209.0
20260311,I,787.5,192732.0,1513856.5,474969.0
20260312,I,795.5,239231.0,1897552.0,480735.0
20260313,I,811.5,450593.0,3673435.84,471496.0
20260316,I,809.0,320029.0,2567161.86,458852.0
20260317,I,816.5,210054.0,1705916.545,461727.0
20260318,I,811.0,189201.0,1536918.46,455521.0
20260319,I,807.5,193106.0,1558807.12,446896.0
20260320,I,815.5,247285.0,2006754.98,450190.0
20260323,I,819.0,263321.0,2158169.655,441942.0
20260324,I,824.0,219773.0,1805450.3,445908.0
20260325,I,806.5,378574.0,3087343.12,414389.0
20260326,I,817.0,216395.0,1766000.88,408045.0
20260311,Y,8570.0,396105.0,3370440.82,617170.0
20260312,Y,8632.0,396192.0,3424936.66,618982.0
20260313,Y,8690.0,360145.0,3136146.47,626137.0
20260316,Y,8716.0,364146.0,3172477.28,627140.0
20260317,Y,8644.0,310175.0,2674248.826,604542.0
20260318,Y,8540.0,280668.0,2415501.38,584784.0
