date,index_name,daily_buy_amt,daily_sell_amt,daily_net_amt,cum_position,cost_price,close_price,pnl_pct,abnormal_bars
20241224,沪深300,7.8196,4.299,3.5206,1464.21,3.6331,4.122,13.46,4
20241225,沪深300,7.2736,0.0,7.2736,1472.0,3.6341,4.1235,13.47,2
20241226,沪深300,0.0,0.0,0.0,1473.07,3.6341,4.1265,13.55,0
20241227,沪深300,1.8937,2.386,-0.4923,1471.16,3.6343,4.1225,13.43,2
20241230,沪深300,1.5371,0.8581,0.679,1478.08,3.6345,4.14,13.91,5
20241231,沪深300,3.641,8.4377,-4.7967,1450.12,3.635,4.075,12.1,6
20250102,沪深300,2.9119,16.2135,-13.3016,1394.81,3.6353,3.9565,8.84,10
20250103,沪深300,4.7016,4.524,0.1776,1380.72,3.6357,3.916,7.71,5
20250106,沪深300,0.0,2.1942,-2.1942,1373.41,3.6357,3.9015,7.31,2
20250107,沪深300,0.0,0.0,0.0,1383.97,3.6357,3.9315,8.14,0
20250108,沪深300,4.7591,3.4937,1.2654,1382.04,3.636,3.9225,7.88,6
20250109,沪深300,0.0,0.0,0.0,1380.1,3.636,3.917,7.73,0
20250110,沪深300,0.0,0.0,0.0,1364.07,3.636,3.8715,6.48,0
20250113,沪深300,0.0,0.0355,-0.0355,1358.75,3.636,3.8565,6.06,1
20250114,沪深300,8.9101,1.2407,7.6694,1401.54,3.6368,3.956,8.78,7
20250115,沪深300,0.0,0.0,0.0,1393.03,3.6368,3.932,8.12,0
20250116,沪深300,3.1266,0.0,3.1266,1397.02,3.6371,3.9345,8.18,1
20250117,沪深300,1.0599,0.0,1.0599,1403.23,3.6372,3.949,8.57,1
20250120,沪深300,1.4644,0.0,1.4644,1410.73,3.6373,3.966,9.04,1
20250121,沪深300,0.5108,0.0,0.5108,1413.02,3.6374,3.971,9.17,1
20250122,沪深300,0.0413,1.7044,-1.663,1398.36,3.6374,3.9345,8.17,3
20250123,沪深300,6.7367,0.2987,6.438,1408.11,3.638,3.944,8.41,2
20250124,沪深300,3.0963,0.1453,2.951,1423.2,3.6383,3.978,9.34,4
20250127,沪深300,3.4975,3.3102,0.1873,1415.69,3.6386,3.9565,8.74,7
20250205,沪深300,0.3723,0.7697,-0.3973,1407.24,3.6387,3.934,8.12,2
20250206,沪深300,18.7899,1.4414,17.3485,1442.03,3.6403,3.9825,9.4,4
20250207,沪深300,13.1225,15.4328,-2.3103,1459.81,3.6417,4.038,10.88,13
20250210,沪深300,5.4187,7.1818,-1.7631,1460.04,3.6423,4.0435,11.01,3
20250211,沪深300,0.0,1.4806,-1.4806,1452.24,3.6423,4.026,10.53,1
20250212,沪深300,5.1741,0.0,5.1741,1471.14,3.6429,4.064,11.56,3
20250213,沪深300,3.0896,2.2049,0.8847,1468.22,3.6432,4.0535,11.26,6
20250214,沪深300,8.0387,3.4727,4.566,1484.03,3.6441,4.0845,12.08,7
20250217,沪深300,5.5607,5.5955,-0.0348,1486.54,3.6448,4.0915,12.26,8
20250218,沪深300,1.7598,5.0518,-3.2921,1472.17,3.645,4.061,11.41,7
20250219,沪深300,2.2479,0.2013,2.0467,1482.74,3.6453,4.0845,12.05,3
20250220,沪深300,0.0,0.0684,-0.0684,1477.95,3.6453,4.0715,11.69,1
20250221,沪深300,14.0463,2.2196,11.8267,1509.8,3.647,4.1265,13.15,7
20250224,沪深300,5.3343,10.0875,-4.7532,1499.91,3.6477,4.1125,12.74,7
20250225,沪深300,0.0,0.0,0.0,1484.78,3.6477,4.071,11.61,0
20250226,沪深300,5.3855,2.5595,2.826,1499.65,3.6483,4.104,12.49,5
20250227,沪深300,1.6757,0.0,1.6757,1505.71,3.6485,4.116,12.81,2
20250228,沪深300,2.1301,4.3111,-2.181,1475.71,3.6487,4.04,10.72,4
20250303,沪深300,0.0808,0.0,0.0808,1472.87,3.6487,4.032,10.5,1
20250304,沪深300,0.3807,0.0625,0.3182,1472.09,3.6488,4.029,10.42,2
20250305,沪深300,2.8875,0.0,2.8875,1480.83,3.6491,4.045,10.85,1
20250306,沪深300,7.3867,0.0,7.3867,1509.1,3.6499,4.102,12.39,4
20250307,沪深300,1.1014,0.0193,1.0821,1505.58,3.6501,4.0895,12.04,2
20250310,沪深300,1.6053,6.8945,-5.2892,1494.38,3.6502,4.0735,11.6,5
20250311,沪深300,12.9174,0.0,12.9174,1511.35,3.6517,4.0845,11.85,2
20250312,沪深300,0.2878,0.0,0.2878,1508.12,3.6517,4.075,11.59,1
20250313,沪深300,0.0,0.0,0.0,1500.91,3.6517,4.0555,11.06,0
20250314,沪深300,20.3885,0.6988,19.6897,1558.48,3.6542,4.1575,13.77,11
20250317,沪深300,0.0267,1.3059,-1.2792,1552.34,3.6542,4.1445,13.42,2
