ts_code,stk_code,conv_price,maturity_date,list_date,bond_short_name,par
118037.SH,688533.SH,28.99,20290706,20230801,上声转债,100.0
113671.SH,603878.SH,7.93,20290710,20230803,武进转债,100.0
118038.SH,688106.SH,18.97,20290717,20230810,金宏转债,100.0
110094.SH,600888.SH,6.65,20290718,20230814,众和转债,100.0
113672.SH,603327.SH,8.17,20290718,20230810,福蓉转债,100.0
113673.SH,603730.SH,7.37,20290718,20230810,岱美转债,100.0
127089.SZ,002459.SZ,11.66,20290718,20230804,晶澳转债,100.0
118039.SH,688597.SH,7.3,20290720,20230815,煜邦转债,100.0
113674.SH,603018.SH,8.45,20290721,20230815,华设转债,100.0
123207.SZ,300948.SZ,10.44,20290721,20230809,冠中转债,100.0
127090.SZ,002937.SZ,25.5,20290724,20230815,兴瑞转债,100.0
118040.SH,688711.SH,28.51,20290725,20230814,宏微转债,100.0
111016.SH,605228.SH,11.48,20290725,20230815,神通转债,100.0
123209.SZ,300644.SZ,17.77,20290726,20230817,聚隆转债,100.0
123211.SZ,300121.SZ,9.28,20290727,20230814,阳谷转债,100.0
123210.SZ,300454.SZ,110.93,20290727,20230818,信服转债,100.0
113067.SH,601139.SH,7.4,20290727,20230818,燃23转债,100.0
123212.SZ,300428.SZ,18.65,20290727,20230816,立中转债,100.0
123213.SZ,301127.SZ,7.14,20290728,20230816,天源转债,100.0
123214.SZ,300239.SZ,6.63,20290731,20230818,东宝转债,100.0
118041.SH,688633.SH,23.14,20290731,20230822,星球转债,100.0
123215.SZ,301268.SZ,19.2,20290803,20230823,铭利转债,100.0
123216.SZ,300737.SZ,6.67,20290804,20230823,科顺转债,100.0
110095.SH,600481.SH,6.18,20290808,20230908,双良转债,100.0
118042.SH,688516.SH,84.42,20290810,20230901,奥维转债,100.0
118043.SH,688678.SH,14.9,20290814,20230912,福立转债,100.0
111017.SH,605368.SH,7.98,20290815,20230908,蓝天转债,100.0
113676.SH,603165.SH,10.14,20290818,20230913,荣23转债,100.0
123220.SZ,300942.SZ,8.87,20290818,20230906,易瑞转债,100.0
123221.SZ,301188.SZ,14.2,20290823,20230914,力诺转债,100.0
123222.SZ,300926.SZ,16.68,20290908,20230928,博俊转债,100.0
118044.SH,688398.SH,18.9,20290911,20231012,赛特转债,100.0
118045.SH,688311.SH,20.94,20290912,20231017,盟升转债,100.0
113677.SH,603306.SH,33.74,20290914,20231012,华懋转债,100.0
123223.SZ,300705.SZ,14.95,20290915,20231013,九典转02,100.0
123224.SZ,301266.SZ,36.82,20290919,20231018,宇邦转债,100.0
127092.SZ,001288.SZ,12.09,20290921,20231020,运机转债,100.0
123225.SZ,300890.SZ,27.44,20291010,20231026,翔丰转债,100.0
127093.SZ,002598.SZ,10.15,20291017,20231103,章鼓转债,100.0
127094.SZ,002809.SZ,10.44,20291018,20231108,红墙转债,100.0
127095.SZ,002111.SZ,9.07,20291018,20231110,广泰转债,100.0
